url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/auctane/jobs/6090753003	2026-04-06	greenhouse	Account Executive - Atlanta, GA	Auctane	pipeline
https://job-boards.greenhouse.io/pagerduty/jobs/5634315004	2026-04-06	greenhouse	Majors Account Executive - Atlanta, GA	PagerDuty	pipeline
https://job-boards.greenhouse.io/gleanwork/jobs/4680477005	2026-04-06	greenhouse	Enterprise Account Executive, Atlanta	Glean	pipeline
https://job-boards.greenhouse.io/anthropic/jobs/4986103008	2026-04-06	greenhouse	Manager, Account Executive - Enterprise Sales	Anthropic	pipeline
https://job-boards.greenhouse.io/missiontelecom/jobs/5146589008	2026-04-06	greenhouse	Strategic Partnerships Executive I	Mission Telecom	pipeline
https://job-boards.greenhouse.io/instabase/jobs/8385243002	2026-04-06	greenhouse	Account Executive, Atlanta	Instabase	pipeline
https://job-boards.greenhouse.io/myriad360/jobs/8365251002	2026-04-06	greenhouse	Account Executive - Atlanta, GA (Remote)	Myriad360	pipeline
https://job-boards.greenhouse.io/eolapower/jobs/5124790008	2026-04-06	greenhouse	Sales Account Executive Atlanta	EOLA Power	pipeline
https://job-boards.greenhouse.io/similarweb/jobs/6596261	2026-04-06	greenhouse	Account Executive, Inside Accounts - LATAM	Similarweb	pipeline
https://jobs.ashbyhq.com/unify/7891a43e-53d5-4859-be61-2528ca3db0e7	2026-04-06	ashby	Account Executive	Unify	pipeline
https://jobs.lever.co/deft/373051c7-3337-4064-93a2-b9e4a69ce44c	2026-04-06	lever	Sales Director	Summit/Deft	pipeline
https://jobs.lever.co/smarsh/b8d98a3f-d5bf-4ba2-8168-867f902feafb	2026-04-06	lever	Sr. Channel Account Manager	Smarsh	pipeline
https://jobs.lever.co/aircall/2999a6aa-3260-41c1-b9b4-b14ec2c0ff2e	2026-04-06	lever	Sales Director, North America East Coast	Aircall	pipeline
https://jobs.lever.co/redoxengine/c8142562-aa49-4151-8920-ffe0006aa2be	2026-04-06	lever	National Sales Director, Providers	Redox	pipeline
https://jobs.lever.co/miteksystems-2/56b00ff5-bf91-4a1c-aa2a-eb987cfa2790	2026-04-06	lever	Channel Sales Manager	Mitek Systems	pipeline
https://www.stepstone.de/stellenangebote--Vertriebsleiter-Head-of-Sales-Manager-m-w-d-Direktvertrieb-D2D-Energie-Telekommunikation-B2C-Berlin-primaholding-GmbH--13677385-inline.html	2026-04-06	stepstone	Vertriebsleiter/Head of Sales/Manager D2D Telekommunikation	primaholding GmbH	pipeline
